A,0.06116010358247982
B,0.022433405854530217
C,0.006800755162718384
D,0.04984212758009722
E,0.13557909269420454
F,0.02104523909279516
G,0.03765086848760493
H,0.014806060483687778
I,0.060030009641449146
J,0.007982589864868276
K,0.03712336511814561
L,0.05517836680918512
M,0.03177639914589885
N,0.07768938380539417
O,0.041837453244019523
P,0.018672104915119912
Q,0.0001956053164263035
R,0.08330451835661247
S,0.08797822344941773
T,0.06253628163127262
U,0.024863959657349964
V,0.02051268784420226
W,0.000825959223232359
X,0.0004877513212823632
Y,0.009408615720105198
Z,0.001071412346102785
Å,0.005522379772138736
Æ,0.012237320989586225
Ø,0.011447958890072336
